timestamp,severity,message,source,host
2024-01-01 00:00:30,INFO,Cache refreshed successfully for module UserController,user-service,host-1
2024-01-01 00:00:33,INFO,User charlie logged out,user-service,host-2
2024-01-01 00:01:06,WARNING,Slow query detected on table products: 4060ms,payment-api,host-3
2024-01-01 00:01:11,WARNING,Retry attempt 198 for service scheduler,user-service,host-1
2024-01-01 00:01:21,INFO,User system logged in successfully from IP 10.0.0.4,data-processor,host-1
2024-01-01 00:03:16,WARNING,Disk usage at 93% on volume nvme0n1,auth-service,host-2
2024-01-01 00:03:18,INFO,Configuration file loaded: app.yaml,payment-api,host-2
2024-01-01 00:03:41,INFO,Database connection established successfully,payment-api,host-3
2024-01-01 00:03:48,INFO,Email notification sent to eve,user-service,host-3
2024-01-01 00:03:55,WARNING,Deprecated API endpoint /api/v1/users called by charlie,auth-service,host-5
2024-01-01 00:04:06,WARNING,Timezone mismatch detected in request from 192.168.1.8,scheduler,host-1
2024-01-01 00:04:09,CRITICAL,Memory leak detected — system will restart in 499s,payment-api,host-3
2024-01-01 00:04:15,WARNING,SSL certificate for example.com expires in 25 days,auth-service,host-1
2024-01-01 00:04:42,INFO,Payment processed successfully for order ORD-9518,user-service,host-4
2024-01-01 00:04:54,WARNING,Retry attempt 239 for service payment-api,scheduler,host-5
2024-01-01 00:05:06,ERROR,Configuration missing required key: secrets.env,auth-service,host-5
2024-01-01 00:05:14,ERROR,API call to /data/export failed after 393 retries,user-service,host-3
2024-01-01 00:06:21,INFO,Database connection established successfully,data-processor,host-2
2024-01-01 00:06:31,INFO,Health check passed for service data-processor,user-service,host-1
2024-01-01 00:06:50,WARNING,High memory usage detected: 75% utilization,payment-api,host-1
2024-01-01 00:07:17,ERROR,Service user-service returned HTTP 500,data-processor,host-5
2024-01-01 00:07:26,ERROR,Failed to write to disk: insufficient funds,scheduler,host-2
2024-01-01 00:08:02,WARNING,Queue size for job-queue exceeds 181 messages,scheduler,host-2
2024-01-01 00:08:08,WARNING,Failed login attempt for user system from IP 10.0.0.5,data-processor,host-3
2024-01-01 00:08:14,INFO,User dave logged out,scheduler,host-1
2024-01-01 00:09:43,INFO,Scheduled job nightly-backup completed in 2897ms,payment-api,host-3
2024-01-01 00:10:35,INFO,Database connection established successfully,payment-api,host-4
2024-01-01 00:10:57,INFO,Cache refreshed successfully for module DataExporter,auth-service,host-5
2024-01-01 00:11:16,INFO,API request to /data/export returned 200 OK,payment-api,host-4
2024-01-01 00:12:37,INFO,Email notification sent to charlie,data-processor,host-3
2024-01-01 00:12:49,ERROR,Permission denied: user dave accessing /admin,payment-api,host-1
2024-01-01 00:13:08,CRITICAL,DDoS attack detected: 228 requests/sec from 192.168.1.6,payment-api,host-2
2024-01-01 00:13:30,WARNING,Cache miss rate elevated: 99%,data-processor,host-3
2024-01-01 00:13:49,INFO,Health check passed for service data-processor,payment-api,host-1
